Frequency Bin [Hz],x-axis [mg],y-axis [mg],z-axis [mg]
0,218.301,0,0
0.839233,219.263,0,0
1.67847,0,0,0
2.5177,0,0,0
3.35693,0,0,0
4.19617,0,0,0
5.0354,0,0,0
5.87463,0,0,0
6.71387,0,0,0
7.5531,0,0,0
8.39233,0,0,0
9.23157,0,0,0
10.0708,0,0,0
10.91,0,0,0
11.7493,0,0,0
12.5885,0,0,0
13.4277,0,0,0
14.267,0,0,0
15.1062,0,0,0
15.9454,0,0,0
16.7847,0,0,0
17.6239,0,0,0
18.4631,0,0,0
19.3024,0,0,0
20.1416,0,0,0
20.9808,0,0,0
21.8201,0,0,0
22.6593,0,0,0
23.4985,0,0,0
24.3378,0,0,0
25.177,0,0,0
26.0162,0,0,0
26.8555,0,0,0
27.6947,0,0,0
28.5339,0,0,0
29.3732,0,0,0
30.2124,0,0,0
31.0516,0,0,0
31.8909,0,0,0
32.7301,0,0,0
33.5693,0,0,0
34.4086,0,0,0
35.2478,0,0,0
36.087,0,0,0
36.9263,0,0,0
37.7655,0,0,0
38.6047,0,0,0
39.444,0,0,0
40.2832,0,0,0
41.1224,0,0,0
41.9617,0,0,0
42.8009,0,0,0
43.6401,0,0,0
44.4794,0,0,0
45.3186,0,0,0
46.1578,0,0,0
46.9971,0,0,0
47.8363,0,0,0
48.6755,0,0,0
49.5148,0,0,0
50.354,0,0,0
51.1932,0,0,0
52.0325,0,0,0
52.8717,0,0,0
53.7109,0,0,0
54.5502,0,0,0
55.3894,0,0,0
56.2286,0,0,0
57.0679,0,0,0
57.9071,0,0,0
58.7463,0,0,0
59.5856,0,0,0
60.4248,0,0,0
61.264,0,0,0
62.1033,0,0,0
62.9425,0,0,0
63.7817,0,0,0
64.621,0,0,0
65.4602,0,0,0
66.2994,0,0,0
67.1387,0,0,0
67.9779,0,0,0
68.8171,0,0,0
69.6564,0,0,0
70.4956,0,0,0
71.3348,0,0,0
72.1741,0,0,0
73.0133,0,0,0
73.8525,0,0,0
74.6918,0,0,0
75.531,0,0,0
76.3702,0,0,0
77.2095,0,0,0
78.0487,0,0,0
78.8879,0,0,0
79.7272,0,0,0
80.5664,0,0,0
81.4056,0,0,0
82.2449,0,0,0
83.0841,0,0,0
83.9233,0,0,0
84.7626,0,0,0
85.6018,0,0,0
86.441,0,0,0
87.2803,0,0,0
88.1195,0,0,0
88.9587,0,0,0
89.798,0,0,0
90.6372,0,0,0
91.4764,0,0,0
92.3157,0,0,0
93.1549,0,0,0
93.9941,0,0,0
94.8334,0,0,0
95.6726,0,0,0
96.5118,0,0,0
97.3511,0,0,0
98.1903,0,0,0
99.0295,0,0,0
99.8688,0,0,0
100.708,1.907,0,0
101.547,0,0,0
102.386,0,0,0
103.226,0,0,0
104.065,0,0,0
104.904,1.907,0,0
105.743,0,0,0
106.583,0,0,0
107.422,0,0,0
108.261,2.8605,0,0
109.1,4.767,0,1.907
109.94,5.72099,0,1.907
110.779,0,0,0
111.618,2.8605,0,0
112.457,2.8605,0,0
113.297,0,0,0
114.136,3.814,0,0
114.975,3.814,0,0
115.814,1.907,0,0
116.653,4.767,0,2.8605
117.493,6.67345,0,5.72099
118.332,7.628,0,7.628
119.171,8.58148,0,14.301
120.01,20.0203,1.907,41.941
120.85,197.357,25.7444,486.213
121.689,289.79,38.136,718.782
122.528,101.044,12.3934,252.67
123.367,10.4852,1.907,22.884
124.207,4.767,0,17.163
125.046,4.767,0,8.58148
125.885,2.8605,0,5.72099
126.724,1.907,0,2.8605
127.563,1.907,0,1.907
128.403,2.8605,0,2.8605
129.242,0,0,0
130.081,3.814,0,2.8605
130.92,2.8605,0,2.8605
131.76,1.907,0,1.907
132.599,0,0,0
133.438,1.907,0,1.907
134.277,1.907,0,0
135.117,2.8605,0,1.907
135.956,1.907,0,0
136.795,2.8605,0,1.907
137.634,4.767,0,2.8605
138.474,2.8605,0,0
139.313,2.8605,0,0
140.152,2.8605,0,1.907
140.991,3.814,0,1.907
141.83,2.8605,0,0
142.67,3.814,0,1.907
143.509,13.3469,0,4.767
144.348,9.534,0,3.814
145.187,1.907,0,0
146.027,4.767,0,0
146.866,10.4852,0,2.8605
147.705,6.67345,0,2.8605
148.544,3.814,0,0
149.384,3.814,0,0
150.223,3.814,0,0
151.062,1.907,0,0
151.901,0,0,0
152.74,3.814,0,0
153.58,4.767,0,0
154.419,0,0,0
155.258,1.907,0,0
156.097,1.907,0,0
156.937,2.8605,0,0
157.776,4.767,0,0
158.615,4.767,0,1.907
159.454,2.8605,0,0
160.294,4.767,0,0
161.133,1.907,0,0
161.972,2.8605,0,0
162.811,2.8605,0,1.907
163.651,6.67345,0,1.907
164.49,4.767,0,1.907
165.329,4.767,0,1.907
166.168,3.814,0,0
167.007,3.814,0,0
167.847,2.8605,0,1.907
168.686,1.907,0,1.907
169.525,1.907,0,0
170.364,0,0,0
171.204,1.907,0,0
172.043,2.8605,0,0
172.882,1.907,0,0
173.721,0,0,0
174.561,0,0,0
175.4,1.907,0,0
176.239,0,0,0
177.078,3.814,0,0
177.917,5.72099,0,1.907
178.757,3.814,0,0
179.596,7.628,0,0
180.435,6.67345,0,1.907
181.274,0,0,0
182.114,1.907,0,0
182.953,1.907,0,0
183.792,3.814,0,0
184.631,5.72099,0,0
185.471,2.8605,0,0
186.31,1.907,0,0
187.149,2.8605,0,0
187.988,4.767,0,0
188.828,1.907,0,0
189.667,1.907,0,0
190.506,0,0,0
191.345,0,0,0
192.184,0,0,0
193.024,0,0,0
193.863,3.814,0,0
194.702,2.8605,0,0
195.541,1.907,0,0
196.381,1.907,0,0
197.22,0,0,0
198.059,1.907,0,0
198.898,1.907,0,0
199.738,1.907,0,0
200.577,1.907,0,0
201.416,1.907,0,0
202.255,2.8605,0,0
203.094,3.814,0,1.907
203.934,1.907,0,0
204.773,7.628,0,1.907
205.612,1.907,0,0
206.451,0,0,0
207.291,3.814,0,1.907
208.13,3.814,0,0
208.969,5.72099,0,1.907
209.808,3.814,0,0
210.648,6.67345,0,0
211.487,5.72099,0,0
212.326,2.8605,0,0
213.165,5.72099,0,0
214.005,4.767,0,0
214.844,2.8605,0,0
215.683,2.8605,0,0
216.522,0,0,0
217.361,1.907,0,0
218.201,1.907,0,0
219.04,3.814,0,0
219.879,4.767,0,0
220.718,5.72099,0,0
221.558,7.628,0,0
222.397,4.767,0,0
223.236,1.907,0,0
224.075,2.8605,0,0
224.915,2.8605,0,0
225.754,1.907,0,0
226.593,2.8605,0,0
227.432,2.8605,0,0
228.271,4.767,0,0
229.111,4.767,0,0
229.95,3.814,0,0
230.789,4.767,0,0
231.628,4.767,0,0
232.468,2.8605,0,0
233.307,6.67345,0,0
234.146,6.67345,0,0
234.985,5.72099,0,0
235.825,0,0,0
236.664,1.907,0,0
237.503,5.72099,0,0
238.342,7.628,0,0
239.182,8.58148,0,0
240.021,12.3934,0,0
240.86,13.3469,0,0
241.699,38.136,0,4.767
242.538,181.161,3.814,24.7868
243.378,196.358,4.767,26.6938
244.217,41.941,0,5.72099
245.056,9.534,0,0
245.895,11.442,0,0
246.735,5.72099,0,0
247.574,0,0,0
248.413,4.767,0,0
249.252,8.58148,0,0
250.092,3.814,0,0
250.931,2.8605,0,0
251.77,4.767,0,0
252.609,1.907,0,0
253.448,5.72099,0,0
254.288,7.628,0,0
255.127,6.67345,0,0
255.966,2.8605,0,0
256.805,4.767,0,0
257.645,3.814,0,0
258.484,8.58148,0,0
259.323,9.534,0,0
260.162,1.907,0,0
261.002,2.8605,0,0
261.841,0,0,0
262.68,1.907,0,0
263.519,4.767,0,2.8605
264.359,12.3934,0,3.814
265.198,17.163,0,2.8605
266.037,12.3934,0,1.907
266.876,8.58148,0,1.907
267.715,7.628,0,0
268.555,11.442,0,1.907
269.394,7.628,0,2.8605
270.233,0,0,1.907
271.072,0,0,0
271.912,1.907,0,0
272.751,6.67345,0,0
273.59,8.58148,0,0
274.429,1.907,0,0
275.269,5.72099,0,0
276.108,2.8605,0,0
276.947,3.814,0,0
277.786,4.767,0,0
278.625,5.72099,0,1.907
279.465,5.72099,0,1.907
280.304,4.767,0,1.907
281.143,11.442,0,1.907
281.982,9.534,0,1.907
282.822,5.72099,0,2.8605
283.661,3.814,0,2.8605
284.5,1.907,0,1.907
285.339,6.67345,0,1.907
286.179,6.67345,0,1.907
287.018,6.67345,0,2.8605
287.857,4.767,0,1.907
288.696,3.814,0,0
289.536,6.67345,0,0
290.375,1.907,0,0
291.214,3.814,0,3.814
292.053,6.67345,0,5.72099
292.892,10.4852,0,6.67345
293.732,7.628,0,3.814
294.571,5.72099,0,2.8605
295.41,1.907,0,0
296.249,7.628,0,2.8605
297.089,9.534,0,3.814
