Time [s],x-axis [g],y-axis [g],z-axis [g]
0,-0.843048,-1.37711,-7.91359
0.000290909,-0.637055,-2.11716,-7.61795
0.000581818,-0.730515,-0.21553,-5.7087
0.000872727,0.114441,-0.31662,-5.02968
0.00116364,-1.26267,-0.808716,-0.801087
0.00145455,-0.597,0.492096,-2.76947
0.00174545,1.23596,-0.816345,0.682831
0.00203636,-3.52287,-3.59154,6.01387
0.00232727,-4.27246,1.15776,8.1749
0.00261818,2.30026,-1.98746,5.10788
0.00290909,-1.06621,-2.54822,8.60977
0.0032,-1.0128,1.75858,8.44765
0.00349091,-0.724793,-2.66075,9.161
0.00378182,-0.892639,-2.25258,7.87163
0.00407273,-0.490189,-0.408173,7.26509
0.00436364,1.49345,-3.59535,7.1888
0.00465455,2.0771,-1.95503,3.22533
0.00494545,-0.47493,-0.736237,5.62477
0.00523636,-0.0362396,-1.44577,3.49426
0.00552727,0.0648499,-0.827789,1.6613
0.00581818,1.32561,0.930786,-2.47192
0.00610909,-0.0553131,-1.63078,-2.53487
0.0064,-0.190735,-2.83623,-3.96347
0.00669091,-0.291824,-1.19591,-6.35147
0.00698182,0.22316,-0.84877,-6.31905
0.00727273,-0.207901,-1.07193,-7.90596
0.00756364,-0.675202,1.57738,-8.89397
0.00785455,-1.4534,0.00190735,-8.01087
0.00814545,-0.0953674,-1.59264,-8.96454
0.00843636,-1.23978,-1.77002,-7.05338
0.00872727,0.253677,-0.890732,-6.79016
0.00901818,-1.11198,-1.43433,-4.31252
0.00930909,0.558853,-1.40381,4.36211
0.0096,0.585556,-0.295639,7.6828
0.00989091,0.535965,-0.988007,8.76618
0.0101818,0.431061,-1.23024,10.1833
0.0104727,0.286102,1.64604,7.47109
0.0107636,0.120163,0.816345,7.49588
0.0110545,-0.0495911,-1.36566,7.19071
0.0113455,-0.209808,-0.97847,4.74739
0.0116364,-0.35286,-0.764847,4.25148
0.0119273,-0.469208,-1.97601,2.36321
0.0122182,-0.556946,1.03188,-0.419617
0.0125091,-0.62561,1.54495,-1.30463
0.0128,-0.679016,0.492096,-4.57955
0.0130909,-0.7267,-0.43869,-5.45502
0.0133818,-0.778198,0.082016,-8.09097
0.0136727,-0.839234,-0.91362,-9.20105
0.0139636,-0.909805,0.160217,-8.12149
0.0142545,-0.984192,0.19455,-9.54437
0.0145455,-1.05095,0.94986,-10.2482
0.0148364,-1.08719,1.3237,-8.54302
0.0151273,-1.07384,1.11771,-4.44412
0.0154182,-0.993729,-0.21553,-5.37109
0.0157091,-0.846863,-0.925064,-1.47247
0.016,-0.640869,0.606537,-2.97165
0.0162909,-0.394821,0.520706,1.44386
0.0165818,-0.139236,1.39427,1.71661
0.0168727,0.0972748,0.175476,4.1523
0.0171636,0.28801,-0.684738,7.05528
0.0174545,0.423431,-0.349045,6.29807
0.0177455,0.495911,-1.26267,5.33676
0.0180364,0.51117,-0.761032,7.2422
0.0183273,0.47493,-0.581741,9.52721
0.0186182,0.394821,0.881195,8.06618
0.0189091,0.268936,0.379562,9.40705
0.0192,0.102997,0.406265,8.03566
0.0194909,-0.0972748,-2.02179,5.4245
0.0197818,-0.31662,-1.6098,4.3869
0.0200727,-0.535965,-1.53923,0.854492
0.0203636,-0.728607,0.240326,1.09482
0.0206545,-0.873566,2.06757,-2.06566
0.0209455,-0.955582,0.383377,-1.91307
0.0212364,-0.980377,0.144959,-6.46782
0.0215273,-0.959397,-0.419617,-6.8512
0.0218182,-0.917435,-1.12152,-7.49588
0.0221091,-0.871659,0.732422,-9.88388
0.0224,-0.841141,0.110626,-11.0493
0.0226909,-0.831604,0.717163,-8.58689
0.0229818,-0.839234,2.55013,-8.19206
0.0232727,-0.84877,-0.679016,-7.56645
0.0235636,-0.844956,-0.768662,-4.21906
0.0238545,-0.808716,1.69563,-5.44548
0.0241455,-0.720978,-1.38855,-0.986099
0.0244364,-0.577927,0.555039,-0.383377
0.0247273,-0.379562,1.90735,2.17819
0.0250182,-0.141144,0.341415,4.10843
0.0253091,0.110626,0.188828,5.70488
0.0256,0.339508,-1.01471,6.27136
0.0258909,0.51117,-1.61362,7.0858
0.0261818,0.598908,-1.03378,7.8125
0.0264727,0.591278,-0.404358,9.90105
0.0267636,0.492096,1.15204,9.84383
0.0270545,0.320435,-0.259399,8.44574
0.0273455,0.101089,0.419617,6.52123
0.0276364,-0.131607,-1.23596,5.61714
0.0279273,-0.354767,-1.14441,3.87001
0.0282182,-0.545502,-1.88065,2.84576
0.0285091,-0.692368,0.51117,0.785828
0.0288,-0.78392,0.951767,-2.55394
0.0290909,-0.818253,1.01662,-2.89726
0.0293818,-0.801087,0.514984,-6.63185
0.0296727,-0.743866,-0.860214,-5.5027
0.0299636,-0.677109,-0.69809,-8.17108
0.0302545,-0.635147,0.0572205,-7.88498
0.0305455,-0.642777,0.886917,-8.0204
0.0308364,-0.719071,0.261307,-8.42667
0.0311273,-0.846863,2.06947,-10.21
0.0314182,-0.993729,-0.82016,-8.39234
0.0317091,-1.10626,-0.0495911,-5.75066
0.032,-1.13106,1.56021,-2.93541
0.0322909,-1.03378,-0.865936,-1.48582
0.0325818,-0.812531,-0.436783,-0.688553
0.0328727,-0.492096,2.31171,2.21062
0.0331636,-0.1297,0.530243,3.66211
0.0334545,0.211716,-1.15395,6.10542
0.0337455,0.478745,1.45912,3.93295
0.0340364,0.638962,-2.02751,7.07626
0.0343273,0.682831,-2.17629,6.52313
0.0346182,0.627518,0.629425,7.2937
0.0349091,0.499725,0.728607,9.66835
0.0352,0.322342,-1.15967,8.38089
0.0354909,0.118256,0.181198,8.58689
0.0357818,-0.0934601,1.58119,5.28908
0.0360727,-0.299454,-3.04222,6.71196
0.0363636,-0.490189,-1.04332,1.89209
0.0366545,-0.650406,0.782013,1.62506
0.0369455,-0.766754,-1.2989,1.30463
0.0372364,-0.835419,1.04713,-4.57382
0.0375273,-0.8564,1.4286,-1.94931
0.0378182,-0.846863,-0.766754,-7.18308
0.0381091,-0.825882,-0.392914,-7.9689
0.0384,-0.82016,-0.0133514,-8.1234
0.0386909,-0.846863,-1.02615,-9.08661
0.0389818,-0.905991,1.75667,-10.8089
0.0392727,-0.982285,0.701904,-9.65119
0.0395636,-1.04904,0.69046,-8.52204
0.0398545,-1.07002,1.18637,-5.18417
0.0401455,-1.01662,-0.404358,-3.08228
0.0404364,-0.881195,0.335693,-3.41606
0.0407273,-0.667572,-0.644684,-2.26593
0.0410182,-0.400543,1.01662,2.03133
0.0413091,-0.116348,2.2049,2.43568
0.0416,0.148773,-1.66321,4.44222
0.0418909,0.368118,-0.257492,6.2542
0.0421818,0.516892,0.7267,6.13403
